words,label
nchallah,0.0
rabi,0.0
m3ana,0.0
bravo,0.0
big,0.0
boss,0.0
aweel,0.0
cmnyr,0.0
bravooo,0.0
sanfouuur,0.0
5amamt,0.0
ta3mil,0.0
pron,0.0
andhomm,0.0
rabb,0.0
karim,0.0
razzag,0.0
rahim,0.0
mr,0.0
selim,0.0
club,0.0
africain,0.0
bella,0.0
vitta,0.0
ki,0.0
sabit,0.0
dik,0.0
lmosfara,0.0
ddcs,0.0
sanfara,0.0
hamdellah,0.0
3ala,0.0
slamtek,0.0
m3alleeeeeeeeeeem,0.0
d,0.0
botoula,0.0
bayyyyyyyy,0.0
bayyyyyyyyyyyyyyyyyyyyy,0.0
t9oulich,0.0
mkabssa,0.0
yaberk,0.0
fik,0.0
ana,0.0
mouwatn,0.0
adi,0.0
amel,0.0
yawmi,0.0
bnj,0.0
king,0.0
ahla,0.0
bil,0.0
bkolkom,0.0
klab,0.0
tfouuuuuuuuuuuuuuuuuuuu,0.0
ouh,0.0
ya,0.0
zbiii,0.0
ouhhh,0.0
eng,0.0
hwita,0.0
allah,0.0
ya7mehom,0.0
w,0.0
izidhom,0.0
fi,0.0
saha,0.0
rabbi,0.0
m3aak,0.0
wleedha,0.0
haka,0.0
li,0.0
mazel,0.0
meskin,0.0
irhal,0.0
maak,0.0
rabii,0.0
karzout,0.0
hetha,0.0
ismou,0.0
maw9ef,0.0
rasmi,0.0
sa7bi,0.0
ca,0.0
demha,0.0
yejry,0.0
fi3rou9y,0.0
bou,0.0
zinha,0.0
lhamra,0.0
wbidha,0.0
yechfih,0.0
si,0.0
slim,0.0
the,0.0
queen,0.0
nour,0.0
guidouz,0.0
official,0.0
ma3adech,0.0
ettfok,0.0
erjel,0.0
lem3arsin,0.0
lensehom,0.0
3ib,0.0
malla,0.0
dha7ka,0.0
zeby,0.0
la,0.0
iberikliiik,0.0
bon,0.0
courage,0.0
sami,0.0
inchala,0.0
im3ak,0.0
et,0.0
chonce,0.0
mal,0.0
entouma,0.0
cher,0.0
degage,0.0
wakila,0.0
halin,0.0
birdill,0.0
mana3ref,0.0
ma3ak,0.0
ou,0.0
ahna,0.0
malkinech,0.0
ilkir,0.0
bech,0.0
telka,0.0
ijje3iya,0.0
fare5,0.0
mibounnnnnnnnnnnnnnnn,0.0
te5srou,0.0
0,0.0
bjeh,0.0
chouf,0.0
hal,0.0
eka,0.0
masekh,0.0
meki,0.0
mosaique,0.0
dkhlt,0.0
ll,0.0
video,0.0
ala,0.0
khater,0.0
l,0.0
tofla,0.0
joumhour,0.0
el,0.0
kolou,0.0
echa3b,0.0
yorid,0.0
tv,0.0
et3ich,0.0
lefri9iiii,0.0
yahfdhik,0.0
donya,0.0
