sentence,label
amazing like usual,1
bonne chance docteur marzouki vive cpr,1
sanfour kan ganit wahdek 5yr,1
mabrok jam3ia,1
machallah alikom rabbi ifadhalkom lbaadhkom,1
rabi ya7mik et ikoun fi 3ounik,1
m3allem ya slim,1
a toi de voir,1
slouma wa7dek ya patron,1
nchlh marbou7a viva ca,1
inshalah la final,1
slim rajel ijib ken rjelle ca la goulette,1
omg vraiment t trop belle je t adore,1
i7na m3ak,1
kol 3am w anti hay b100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000kir,1
kess7a barcha,1
allah yar7amhoum,1
aya amir hassen et mistiri hinda me ya3rfouch lahkika hhhhh,1
ay 7aja fi masla7et tounes mara7béé biha ya sloumaa,1
7abou ifasrouha jamais 9adro fehmouha,1
tbarkalah a3lih chibl isgaier,1
hahaha eejbetny menek,1
enes elkol fil 9asba dm1,1
hhhh birasmi klamek s7iy7,1
thawadi slouma bras omek sa7a7lou,1
lol 3am winti b5ir si slim,1
ma7lee zinekk,1
ayyy number one let s gooo my man,1
ech na7wel dr hamdi,1
allah eihmik,1
shih mais zidhom el amen ywali a9wa barnamej tounsi,1
rabi m3a l8alya merci slouma,1
rabi em3kom,1
rana me3ak,1
jtm dadooooo ahhhhhhhhh ya rab,1
allah yarhmou inshallah,1
rabi ywafkik mr le president,1
mabrouk 3lina patron,1
3lina w 3likom snin deyma,1
bravo ja3far,1
ghneya mezyena wetek style hedha,1
3aychou slouma 3lina w3likk,1
bon retour et bon courage welcome,1
viva forza cab wel bnazartya asyedkom ye 7outhelet el mochtama3,1
well said,1
bettawfi9 nchalla,1
kayenha bech trasilha f ras badr hhhhhhhhh,1
allah yarhem el jaamyya,1
berjouliya rabbi m3ak,1
khalil chammam hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
kol 3am wenti balf khir,1
7asbouna allah w ne3ma wakil,1
baalouch a7sen wehed,1
si slim kol ame wenti1000 kir,1
el 3akba el sidi bouzide nchala7 viv ca,1
je veux tester le meso mask,1
hhhhhhhhhhhhhhh bravo lotfi 3la kol kelmet 7a9 t9oulha,1
nemchou li sfax bel minim e basta,1
inchala zina ya rabi,1
3idk mabrok,1
raby yfadhlhlk,1
ca daoula slouma m3alem,1
chahid mnin jato echahada mala ra7a,1
first ya debbi,1
bravo hama hama vive ca,1
rabi m3ak inchallah,1
0 08 ya3tik issa77a,1
winou lien n7eb netwesa3,1
slouma jibelna pivot,1
alef mabrouk eltones awalan wlenadi alefrgi thanyan,1
