sentence,label,length,word_list
nchallah rabi m3ana bravo big boss,1,6,"['nchallah', 'rabi', 'm3ana', 'bravo', 'big', 'boss']"
aweel cmnyr bravooo sanfouuur,1,4,"['aweel', 'cmnyr', 'bravooo', 'sanfouuur']"
5amamt ta3mil pron,0,3,"['5amamt', 'ta3mil', 'pron']"
andhomm rabb karim razzag rahim,1,5,"['andhomm', 'rabb', 'karim', 'razzag', 'rahim']"
bravo mr selim,1,3,"['bravo', 'mr', 'selim']"
club africain bella vitta,1,4,"['club', 'africain', 'bella', 'vitta']"
ki sabit dik lmosfara ddcs sanfara,0,6,"['ki', 'sabit', 'dik', 'lmosfara', 'ddcs', 'sanfara']"
hamdellah 3ala slamtek,1,3,"['hamdellah', '3ala', 'slamtek']"
m3alleeeeeeeeeeem d,1,2,"['m3alleeeeeeeeeeem', 'd']"
botoula bayyyyyyyy bayyyyyyyyyyyyyyyyyyyyy,1,3,"['botoula', 'bayyyyyyyy', 'bayyyyyyyyyyyyyyyyyyyyy']"
t9oulich mkabssa,0,2,"['t9oulich', 'mkabssa']"
rabi yaberk fik ana mouwatn adi amel yawmi,1,8,"['rabi', 'yaberk', 'fik', 'ana', 'mouwatn', 'adi', 'amel', 'yawmi']"
bnj king,1,2,"['bnj', 'king']"
ahla bil,1,2,"['ahla', 'bil']"
bkolkom klab tfouuuuuuuuuuuuuuuuuuuu,0,3,"['bkolkom', 'klab', 'tfouuuuuuuuuuuuuuuuuuuu']"
ouh ya zbiii ouhhh,0,4,"['ouh', 'ya', 'zbiii', 'ouhhh']"
eng hwita,1,2,"['eng', 'hwita']"
allah ya7mehom w izidhom fi saha,1,6,"['allah', 'ya7mehom', 'w', 'izidhom', 'fi', 'saha']"
rabbi m3aak ya wleedha,1,4,"['rabbi', 'm3aak', 'ya', 'wleedha']"
haka li mazel meskin,0,4,"['haka', 'li', 'mazel', 'meskin']"
irhal rabbi maak,1,3,"['irhal', 'rabbi', 'maak']"
rabii karzout hetha ismou maw9ef rasmi sa7bi,0,7,"['rabii', 'karzout', 'hetha', 'ismou', 'maw9ef', 'rasmi', 'sa7bi']"
ca demha yejry fi3rou9y bou zinha lhamra wbidha,1,8,"['ca', 'demha', 'yejry', 'fi3rou9y', 'bou', 'zinha', 'lhamra', 'wbidha']"
rabi yechfih ya si slim,1,5,"['rabi', 'yechfih', 'ya', 'si', 'slim']"
the queen nour guidouz official,1,5,"['the', 'queen', 'nour', 'guidouz', 'official']"
ma3adech ettfok erjel lem3arsin lensehom 3ib,0,6,"['ma3adech', 'ettfok', 'erjel', 'lem3arsin', 'lensehom', '3ib']"
malla dha7ka zeby,0,3,"['malla', 'dha7ka', 'zeby']"
allah la iberikliiik,0,3,"['allah', 'la', 'iberikliiik']"
bon courage sami,1,3,"['bon', 'courage', 'sami']"
inchala rabi im3ak et bon chonce,1,6,"['inchala', 'rabi', 'im3ak', 'et', 'bon', 'chonce']"
mal entouma,0,2,"['mal', 'entouma']"
cher degage,0,2,"['cher', 'degage']"
wakila halin birdill w mana3ref,0,5,"['wakila', 'halin', 'birdill', 'w', 'mana3ref']"
rabi ma3ak ou ahna ma3ak,1,5,"['rabi', 'ma3ak', 'ou', 'ahna', 'ma3ak']"
malkinech ilkir fik bech telka ijje3iya,0,6,"['malkinech', 'ilkir', 'fik', 'bech', 'telka', 'ijje3iya']"
fare5 mibounnnnnnnnnnnnnnnn,0,2,"['fare5', 'mibounnnnnnnnnnnnnnnn']"
nchallah te5srou 0,0,3,"['nchallah', 'te5srou', '0']"
bjeh rabi chouf hal eka masekh meki mosaique,0,8,"['bjeh', 'rabi', 'chouf', 'hal', 'eka', 'masekh', 'meki', 'mosaique']"
dkhlt ll video ala khater l tofla,1,7,"['dkhlt', 'll', 'video', 'ala', 'khater', 'l', 'tofla']"
rabi maak w joumhour el ca el kolou maak,1,9,"['rabi', 'maak', 'w', 'joumhour', 'el', 'ca', 'el', 'kolou', 'maak']"
echa3b yorid ca tv,1,4,"['echa3b', 'yorid', 'ca', 'tv']"
et3ich lefri9iiii,1,2,"['et3ich', 'lefri9iiii']"
rabi yahfdhik donya allah akbar alamen tjabara sloïm,1,8,"['rabi', 'yahfdhik', 'donya', 'allah', 'akbar', 'alamen', 'tjabara', 'sloïm']"
enti ta3raf romdhan hhh,0,4,"['enti', 'ta3raf', 'romdhan', 'hhh']"
5allina louhichi yehdiiiiiiiiiiiiiiiiiiiiiiiik,1,3,"['5allina', 'louhichi', 'yehdiiiiiiiiiiiiiiiiiiiiiiiik']"
kol 3am wcha3b lghalia b5ir,1,5,"['kol', '3am', 'wcha3b', 'lghalia', 'b5ir']"
sr arbitre yétbadil ta3mil mzéya yétbadil,0,6,"['sr', 'arbitre', 'yétbadil', 'ta3mil', 'mzéya', 'yétbadil']"
bnn annif capo,1,3,"['bnn', 'annif', 'capo']"
bravo hadha houa esshih,1,4,"['bravo', 'hadha', 'houa', 'esshih']"
bech to93dou emnaykin asfil 5al9 rabi bet7in emta3kom,0,8,"['bech', 'to93dou', 'emnaykin', 'asfil', '5al9', 'rabi', 'bet7in', 'emta3kom']"
ca ya dwala,1,3,"['ca', 'ya', 'dwala']"
loool vasy jawebhom w 3addi lbarnamej,1,6,"['loool', 'vasy', 'jawebhom', 'w', '3addi', 'lbarnamej']"
inchallah ya3mel haja w izid ikamel chi5awi waw hhhhh,1,9,"['inchallah', 'ya3mel', 'haja', 'w', 'izid', 'ikamel', 'chi5awi', 'waw', 'hhhhh']"
joiyeuuuux anniversaiiiire,1,2,"['joiyeuuuux', 'anniversaiiiire']"
hmdi hirbaui clubiste,1,3,"['hmdi', 'hirbaui', 'clubiste']"
l homme propre yesstehel kol khir,1,6,"['l', 'homme', 'propre', 'yesstehel', 'kol', 'khir']"
boy mahlekk w rabi iwaslek enti w wlidek labes,1,9,"['boy', 'mahlekk', 'w', 'rabi', 'iwaslek', 'enti', 'w', 'wlidek', 'labes']"
ekid klemik shih,1,3,"['ekid', 'klemik', 'shih']"
tunisie avant la catastrophe,1,4,"['tunisie', 'avant', 'la', 'catastrophe']"
rabi im3ak slouma,1,3,"['rabi', 'im3ak', 'slouma']"
nchallah rabi m3ana w nchallah marbou7a forza ca,1,8,"['nchallah', 'rabi', 'm3ana', 'w', 'nchallah', 'marbou7a', 'forza', 'ca']"
t3ich kleb fi rous mjenin,0,5,"['t3ich', 'kleb', 'fi', 'rous', 'mjenin']"
omra makboula nchala,1,3,"['omra', 'makboula', 'nchala']"
hahou elli 7abou yosloula rcd ychatitouna,0,6,"['hahou', 'elli', '7abou', 'yosloula', 'rcd', 'ychatitouna']"
en avant ya m3alleem,1,4,"['en', 'avant', 'ya', 'm3alleem']"
defence yesir te3ib 7addedi 3agrbi meyjich arriere droit,0,8,"['defence', 'yesir', 'te3ib', '7addedi', '3agrbi', 'meyjich', 'arriere', 'droit']"
bari lem rouhek dirti el ar,0,6,"['bari', 'lem', 'rouhek', 'dirti', 'el', 'ar']"
allah yar7mou o yna3mo,1,4,"['allah', 'yar7mou', 'o', 'yna3mo']"
a3tihom ychedo 7aja ykabcho fiha rabi y5ales w7alkom lewled,1,9,"['a3tihom', 'ychedo', '7aja', 'ykabcho', 'fiha', 'rabi', 'y5ales', 'w7alkom', 'lewled']"
bravooo ye m3alem,1,3,"['bravooo', 'ye', 'm3alem']"
bravo m3ak lele5er patron,1,4,"['bravo', 'm3ak', 'lele5er', 'patron']"
melyarat melyart slim erya7i ya 3affat,0,6,"['melyarat', 'melyart', 'slim', 'erya7i', 'ya', '3affat']"
chniya 3am slim tlamed fi chwaya jaimet,1,7,"['chniya', '3am', 'slim', 'tlamed', 'fi', 'chwaya', 'jaimet']"
t7in tho taba3 siyesi,0,4,"['t7in', 'tho', 'taba3', 'siyesi']"
berasmi mahboula barcha bravo vipa wlawled zeda,1,7,"['berasmi', 'mahboula', 'barcha', 'bravo', 'vipa', 'wlawled', 'zeda']"
kleeemk y9ch3er lbdaan wlh bravo,1,5,"['kleeemk', 'y9ch3er', 'lbdaan', 'wlh', 'bravo']"
a77la weld 7omti w a7la jendouba,1,6,"['a77la', 'weld', '7omti', 'w', 'a7la', 'jendouba']"
alors nmoute 3lihhh be saraha,1,5,"['alors', 'nmoute', '3lihhh', 'be', 'saraha']"
bravooooooo ya m3alem,1,3,"['bravooooooo', 'ya', 'm3alem']"
ya 9atel rou7 fin trou7,0,5,"['ya', '9atel', 'rou7', 'fin', 'trou7']"
c bien enchallah pk pas taw kol youm ntab3ek,1,9,"['c', 'bien', 'enchallah', 'pk', 'pas', 'taw', 'kol', 'youm', 'ntab3ek']"
wlh dhlamthom l9rouda mseken elrzana w l39ala,1,7,"['wlh', 'dhlamthom', 'l9rouda', 'mseken', 'elrzana', 'w', 'l39ala']"
izi mil kitheb,0,3,"['izi', 'mil', 'kitheb']"
3maltou el3ar wallah tfouuuh alikom,0,5,"['3maltou', 'el3ar', 'wallah', 'tfouuuh', 'alikom']"
meskina wallah,0,2,"['meskina', 'wallah']"
jam3iya kol m3ak ma famech ma 5ir menek,1,8,"['jam3iya', 'kol', 'm3ak', 'ma', 'famech', 'ma', '5ir', 'menek']"
kolhom ta7ana ya smlouma,0,4,"['kolhom', 'ta7ana', 'ya', 'smlouma']"
ya sameh wfa l mousalsel 3zizty,1,6,"['ya', 'sameh', 'wfa', 'l', 'mousalsel', '3zizty']"
3sba lirie7i,0,2,"['3sba', 'lirie7i']"
ah yee galbie,1,3,"['ah', 'yee', 'galbie']"
las chicas del cable raw3a khlaaah bessah makmltouch,1,8,"['las', 'chicas', 'del', 'cable', 'raw3a', 'khlaaah', 'bessah', 'makmltouch']"
a7na m3ak wled ca,1,4,"['a7na', 'm3ak', 'wled', 'ca']"
alech mahawech hata retraite ghaadine yetselkou fi el gibaya,0,9,"['alech', 'mahawech', 'hata', 'retraite', 'ghaadine', 'yetselkou', 'fi', 'el', 'gibaya']"
m3lm rak ya slouma,1,4,"['m3lm', 'rak', 'ya', 'slouma']"
syb 3alina men leo9et leblad hadi marb7na menha 7atchay,0,9,"['syb', '3alina', 'men', 'leo9et', 'leblad', 'hadi', 'marb7na', 'menha', '7atchay']"
mala manoulla w malla pablo scobar,1,6,"['mala', 'manoulla', 'w', 'malla', 'pablo', 'scobar']"
